className,count
pf-c-clipboard-copy__group-toggle,4
pf-c-clipboard-copy__group-toggle-icon,4
pf-c-form-control,9
pf-c-clipboard-copy__group-copy,4
pf-c-button pf-m-primary,2
drift pf-m-redhat-font,2
pf-c-nav__item pf-m-expanded pf-m-current,2
page__undefined pf-l-page__main pf-c-page__main,2
page__Vulnerabilities pf-l-page__main pf-c-page__main,2
pf-c-tabs vulnerability-tabs,2
pf-c-tabs__scroll-button,22
pf-c-tabs__list,11
pf-c-tabs__item pf-m-current vulnerability-tabs,2
pf-c-tabs__button,40
pf-c-tabs__item vulnerability-tabs,2
pf-l-stack__item,58
pf-l-toolbar ins-c-table__toolbar space-between-toolbar-items,2
pf-l-toolbar__group vulnerability-toolbar-spacing,2
pf-c-dropdown,104
pf-c-dropdown__toggle pf-m-split-button,2
pf-c-check,2
pf-c-check__input,2
pf-c-dropdown__toggle-button,2
pf-c-form-control ins-c-conditional-filter,3
pf-c-dropdown ins-c-filter__dropdown,2
pf-c-dropdown__toggle,2
pf-c-pagination,2
pf-c-pagination__total-items,3
pf-c-options-menu,5
pf-c-options-menu__toggle pf-m-plain pf-m-text,6
pf-c-options-menu__toggle-text,6
pf-c-options-menu__toggle-button,6
pf-c-pagination__nav,6
pf-c-pagination__nav-page-select,5
pf-l-toolbar ins-c-table__toolbar pf-u-pt-0,2
pf-c-table pf-m-grid-lg,2
pf-c-table__check,57
pf-c-table__sort col-width-10 no-wrap,4
pf-c-table__sort-indicator,16
pf-c-table__sort pf-m-selected col-width-10 hide-description,2
pf-c-table__sort col-width-10,8
pf-c-table__toggle,45
pf-c-table__action,99
pf-c-table__expandable-row,45
pf-c-table__expandable-row-content,45
pf-l-toolbar ins-c-table__toolbar,2
pf-c-pagination pf-m-footer,3
page__remediations pf-l-page__main pf-c-page__main,1
pf-c-empty-state pf-m-lg ins-c-no-remediations,1
page__inventory pf-c-page__main pf-l-page__main,10
pf-m-light pf-l-page-header pf-c-page-header pf-l-page__main-section pf-c-page__main-section,1
pf-l-grid__item pf-m-12-col,11
pf-c-data-toolbar ins-c-inventory__table--toolbar ins-c-primary-toolbar,1
pf-c-data-toolbar__content,1
pf-c-data-toolbar__group pf-m-filter-group ins-c-primary-toolbar__group-filter pf-m-spacer-lg pf-m-space-items-lg,1
pf-c-data-toolbar__item ins-c-primary-toolbar__filter,1
pf-l-split ins-c-conditional-filter,1
pf-l-split__item pf-m-fill,10
pf-c-data-toolbar__item ins-c-primary-toolbar__pagination,1
pf-c-pagination pf-m-compact,1
pf-c-data-toolbar__content pf-m-hidden,1
pf-c-data-toolbar__group pf-m-filter-group,1
pf-c-data-toolbar__expandable-content,1
pf-c-data-toolbar__group,1
pf-l-grid ins-inventory-list,1
pf-c-table pf-m-grid-md ins-c-entity-table,1
pf-c-table__sort,1
pf-m-width-25,1
pf-m-width-25 pf-c-table__sort,1
pf-c-button pf-m-plain ins-c-tag-count,18
pf-l-toolbar ins-c-table__toolbar ins-m-footer ins-c-inventory__table--toolbar,1
pf-c-options-menu pf-m-top,1
pf-c-chip-group pf-m-toolbar,1
pf-c-chip-group__label,1
pf-c-chip-group,1
pf-c-chip,1
pf-c-chip__text,1
pf-c-button pf-m-link,1
pf-m-light ins-inventory-detail ins-c-inventory__detail--general-info pf-l-page-header pf-c-page-header pf-l-page__main-section pf-c-page__main-section,9
pf-c-breadcrumb,9
pf-c-breadcrumb__list,9
pf-c-breadcrumb__item,18
pf-c-breadcrumb__item-divider,9
pf-l-split ins-c-inventory__detail--header,9
pf-l-split__item,9
pf-l-grid ins-entity-facts,9
pf-l-grid__item pf-m-6-col-on-md,9
pf-c-tabs pf-m-fill ins-c-inventory-detail__app-tabs,9
pf-c-tabs__item pf-m-current ins-c-inventory-detail__app-tabs,9
pf-c-tabs__item ins-c-inventory-detail__app-tabs,27
ins-c-inventory__detail--general-info pf-l-page__main-section pf-c-page__main-section,9
pf-l-grid pf-m-all-12-col-on-sm pf-m-all-6-col-on-md pf-m-gutter,9
pf-l-grid__item,54
pf-l-stack pf-m-gutter,54
pf-l-stack__item pf-m-fill,54
